No,Tanggal,Pukul,Latitude (?),Longitude(?),Heading(?),Kecepatan K1(knots),,
51,15/5/2023,0:00,-0.17592,118.63255,39,11.1,,
52,15/5/2023,0:06,-0.15988,118.64141,39,11.1,,
53,15/5/2023,0:12,-0.14385,118.65026,39,11.1,,
54,15/5/2023,0:18,-0.12781,118.65912,39,11.1,,
55,15/5/2023,0:24,-0.11177,118.66798,39,11.1,,
56,15/5/2023,0:30,-0.09574,118.67684,39,11.1,,
57,15/5/2023,0:36,-0.0797,118.68569,39,11.1,,
58,15/5/2023,0:42,-0.06367,118.69455,39,11.1,,
59,15/5/2023,0:48,-0.04763,118.70341,39,11.1,,
60,15/5/2023,0:54,-0.0316,118.71226,39,11.1,,
61,15/5/2023,1:00,-0.01556,118.72112,39,11.1,,
62,15/5/2023,1:06,0.00048,118.72998,39,11.1,,
63,15/5/2023,1:12,0.01651,118.73883,39,11.1,,
64,15/5/2023,1:18,0.03255,118.74769,39,11.1,,
65,15/5/2023,1:24,0.04858,118.75655,39,11.1,,
66,15/5/2023,1:30,0.06462,118.76541,39,11.1,,
67,15/5/2023,1:36,0.08065,118.77426,39,11.1,,
68,15/5/2023,1:42,0.09669,118.78312,39,11.1,,
69,15/5/2023,1:48,0.11273,118.79198,39,11.1,,
70,15/5/2023,1:54,0.12876,118.80083,39,11.1,,
71,15/5/2023,2:00,0.1448,118.80969,39,11.1,,
72,15/5/2023,2:06,0.16083,118.81855,39,11.1,,
73,15/5/2023,2:12,0.17687,118.8274,39,11.1,,
74,15/5/2023,2:18,0.1929,118.83626,39,11.1,,
75,15/5/2023,2:24,0.20894,118.84512,39,11.1,,
76,15/5/2023,2:30,0.22497,118.85398,39,11.1,,
77,15/5/2023,2:36,0.24101,118.86283,39,11.1,,
78,15/5/2023,2:42,0.25705,118.87169,39,11.1,,
79,15/5/2023,2:48,0.27308,118.88055,39,11.1,,
80,15/5/2023,2:54,0.28912,118.8894,39,11.1,,
81,15/5/2023,3:00,0.30515,118.89826,39,11.1,,
82,15/5/2023,3:06,0.32119,118.90712,39,11.1,,
83,15/5/2023,3:12,0.33722,118.91597,39,11.1,,
84,15/5/2023,3:18,0.35326,118.92483,39,11.1,,
85,15/5/2023,3:24,0.3693,118.93369,39,11.1,,
86,15/5/2023,3:30,0.38533,118.94255,39,11.1,,
87,15/5/2023,3:36,0.40137,118.9514,39,11.1,,
88,15/5/2023,3:42,0.4174,118.96026,39,11.1,,
89,15/5/2023,3:48,0.43344,118.96912,39,11.1,,
90,15/5/2023,3:54,0.44947,118.97797,39,11.1,,
91,15/5/2023,4:00,0.46551,118.98683,39,11.1,,
92,15/5/2023,4:06,0.48155,118.99569,39,11.1,,
93,15/5/2023,4:12,0.49758,119.00454,39,11.1,,
94,15/5/2023,4:18,0.51362,119.0134,39,11.1,,
95,15/5/2023,4:24,0.52965,119.02226,39,11.1,,
96,15/5/2023,4:30,0.54569,119.03112,39,11.1,,
97,15/5/2023,4:36,0.56172,119.03997,39,11.1,,
98,15/5/2023,4:42,0.57776,119.04883,39,11.1,,
99,15/5/2023,4:48,0.5938,119.05769,39,11.1,,
100,15/5/2023,4:54,0.60983,119.06654,39,11.1,,
101,15/5/2023,5:00,0.62587,119.0754,39,11.1,,
102,15/5/2023,5:06,0.6419,119.08426,39,11.1,,
103,15/5/2023,5:12,0.65794,119.09311,39,11.1,,
104,15/5/2023,5:18,0.67397,119.10197,39,11.1,,
105,15/5/2023,5:24,0.69001,119.11083,39,11.1,,
106,15/5/2023,5:30,0.70604,119.11969,39,11.1,,
107,15/5/2023,5:36,0.72208,119.12854,39,11.1,,
108,15/5/2023,5:42,0.73812,119.1374,39,11.1,,
109,15/5/2023,5:48,0.75415,119.14626,39,11.1,,
110,15/5/2023,5:54,0.77019,119.15511,39,11.1,,
111,15/5/2023,6:00,0.78622,119.16397,39,11.1,,
112,15/5/2023,6:06,0.80226,119.17283,39,11.1,,
113,15/5/2023,6:12,0.81829,119.18168,39,11.1,,
114,15/5/2023,6:18,0.83433,119.19054,39,11.1,,
115,15/5/2023,6:24,0.85037,119.1994,39,11.1,,
116,15/5/2023,6:30,0.8664,119.20826,39,11.1,,
117,15/5/2023,6:36,0.88244,119.21711,39,11.1,,
118,15/5/2023,6:42,0.89847,119.22597,39,11.1,,
119,15/5/2023,6:48,0.91451,119.23483,39,11.1,,
120,15/5/2023,6:54,0.93054,119.24368,39,11.1,,
121,15/5/2023,7:00,0.94658,119.25254,39,11.1,,
122,15/5/2023,7:06,0.96262,119.2614,39,11.1,,
123,15/5/2023,7:12,0.97865,119.27025,39,11.1,,
124,15/5/2023,7:18,0.99469,119.27911,39,11.1,,
125,15/5/2023,7:24,1.01072,119.28797,39,11.1,,
126,15/5/2023,7:30,1.02676,119.29683,39,11.1,,
127,15/5/2023,7:36,1.04279,119.30568,39,11.1,,
128,15/5/2023,7:42,1.05883,119.31454,39,11.1,,
129,15/5/2023,7:48,1.07487,119.3234,39,11.1,,
130,15/5/2023,7:54,1.0909,119.33225,39,11.1,,
131,15/5/2023,8:00,1.10694,119.34111,39,11.1,,
132,15/5/2023,8:06,1.12297,119.34997,39,11.1,,
133,15/5/2023,8:12,1.13901,119.35882,39,11.1,,
134,15/5/2023,8:18,1.15504,119.36768,39,11.1,,
135,15/5/2023,8:24,1.17108,119.37654,39,11.1,,
136,15/5/2023,8:30,1.18711,119.3854,39,11.1,,
137,15/5/2023,8:36,1.20315,119.39425,39,11.1,,
138,15/5/2023,8:42,1.21919,119.40311,39,11.1,,
139,15/5/2023,8:48,1.23522,119.41197,39,11.1,,
140,15/5/2023,8:54,1.25126,119.42082,39,11.1,,
141,15/5/2023,9:00,1.26729,119.42968,39,11.1,,
142,15/5/2023,9:06,1.28333,119.43854,39,11.1,,
143,15/5/2023,9:12,1.29936,119.44739,39,11.1,,
144,15/5/2023,9:18,1.3154,119.45625,39,11.1,,
145,15/5/2023,9:24,1.33144,119.46511,39,11.1,,
146,15/5/2023,9:30,1.34747,119.47397,39,11.1,,
147,15/5/2023,9:36,1.36351,119.48282,39,11.1,,
148,15/5/2023,9:42,1.37954,119.49168,39,11.1,,
149,15/5/2023,9:48,1.39558,119.50054,39,11.1,,
150,15/5/2023,9:54,1.41161,119.50939,39,11.1,,
151,15/5/2023,10:00,1.42765,119.51825,39,11.1,,
152,15/5/2023,10:06,1.44369,119.52711,39,11.1,,
153,15/5/2023,10:12,1.45972,119.53596,39,11.1,,
154,15/5/2023,10:18,1.47576,119.54482,39,11.1,,
155,15/5/2023,10:24,1.49179,119.55368,39,11.1,,
156,15/5/2023,10:30,1.50783,119.56254,39,11.1,,
157,15/5/2023,10:36,1.52386,119.57139,39,11.1,,
158,15/5/2023,10:42,1.5399,119.58025,39,11.1,,
159,15/5/2023,10:48,1.55594,119.58911,39,11.1,,
160,15/5/2023,10:54,1.57197,119.59796,39,11.1,,
161,15/5/2023,11:00,1.58801,119.60682,39,11.1,,
162,15/5/2023,11:06,1.60404,119.61568,39,11.1,,
163,15/5/2023,11:12,1.62008,119.62453,39,11.1,,
164,15/5/2023,11:18,1.63611,119.63339,39,11.1,,
165,15/5/2023,11:24,1.65215,119.64225,39,11.1,,
166,15/5/2023,11:30,1.66818,119.65111,39,11.1,,
167,15/5/2023,11:36,1.68422,119.65996,39,11.1,,
168,15/5/2023,11:42,1.70026,119.66882,39,11.1,,
169,15/5/2023,11:48,1.71629,119.67768,39,11.1,,
170,15/5/2023,11:54,1.73233,119.68653,39,11.1,,
171,15/5/2023,12:00,1.74836,119.69539,39,11.1,,
172,15/5/2023,12:06,1.7644,119.70425,39,11.1,,
173,15/5/2023,12:12,1.78043,119.7131,39,11.1,,
174,15/5/2023,12:18,1.79647,119.72196,39,11.1,,
175,15/5/2023,12:24,1.81251,119.73082,39,11.1,,
176,15/5/2023,12:30,1.82854,119.73968,39,11.1,,
177,15/5/2023,12:36,1.84458,119.74853,39,11.1,,
178,15/5/2023,12:42,1.86061,119.75739,39,11.1,,
179,15/5/2023,12:48,1.87665,119.76625,39,11.1,,
180,15/5/2023,12:54,1.89268,119.7751,39,11.1,,
181,15/5/2023,13:00,1.90872,119.78396,39,11.1,,
182,15/5/2023,13:06,1.92476,119.79282,39,11.1,,
183,15/5/2023,13:12,1.94079,119.80167,39,11.1,,
184,15/5/2023,13:18,1.95683,119.81053,39,11.1,,
185,15/5/2023,13:24,1.97286,119.81939,39,11.1,,
186,15/5/2023,13:30,1.9889,119.82825,39,11.1,,
187,15/5/2023,13:36,2.00493,119.8371,39,11.1,,
188,15/5/2023,13:42,2.02097,119.84596,39,11.1,,
189,15/5/2023,13:48,2.03701,119.85482,39,11.1,,
190,15/5/2023,13:54,2.05304,119.86367,39,11.1,,
191,15/5/2023,14:00,2.06908,119.87253,39,11.1,,
192,15/5/2023,14:06,2.08511,119.88139,39,11.1,,
193,15/5/2023,14:12,2.10115,119.89024,39,11.1,,
194,15/5/2023,14:18,2.11718,119.8991,39,11.1,,
195,15/5/2023,14:24,2.13322,119.90796,39,11.1,,
196,15/5/2023,14:30,2.14925,119.91682,39,11.1,,
197,15/5/2023,14:36,2.16529,119.92567,39,11.1,,
198,15/5/2023,14:42,2.18133,119.93453,39,11.1,,
199,15/5/2023,14:48,2.19736,119.94339,39,11.1,,
200,15/5/2023,14:54,2.2134,119.95224,39,11.1,,
201,15/5/2023,15:00,2.22943,119.9611,39,11.1,,
202,15/5/2023,15:06,2.24547,119.96996,39,11.1,,
203,15/5/2023,15:12,2.2615,119.97881,39,11.1,,
204,15/5/2023,15:18,2.27754,119.98767,39,11.1,,
205,15/5/2023,15:24,2.29358,119.99653,39,11.1,,
206,15/5/2023,15:30,2.30961,120.00539,39,11.1,,
207,15/5/2023,15:36,2.32565,120.01424,39,11.1,,
208,15/5/2023,15:42,2.34168,120.0231,39,11.1,,
209,15/5/2023,15:48,2.35772,120.03196,39,11.1,,
210,15/5/2023,15:54,2.37375,120.04081,39,11.1,,
211,15/5/2023,16:00,2.38979,120.04967,39,11.1,,
212,15/5/2023,16:06,2.40583,120.05853,39,11.1,,
213,15/5/2023,16:12,2.42186,120.06738,39,11.1,,
214,15/5/2023,16:18,2.4379,120.07624,39,11.1,,
215,15/5/2023,16:24,2.45393,120.0851,39,11.1,,
216,15/5/2023,16:30,2.46997,120.09396,39,11.1,,
217,15/5/2023,16:36,2.486,120.10281,39,11.1,,
218,15/5/2023,16:42,2.50204,120.11167,39,11.1,,
219,15/5/2023,16:48,2.51808,120.12053,39,11.1,,
220,15/5/2023,16:54,2.53411,120.12938,39,11.1,,
221,15/5/2023,17:00,2.55015,120.13824,39,11.1,,
222,15/5/2023,17:06,2.56618,120.1471,39,11.1,,
223,15/5/2023,17:12,2.58222,120.15595,39,11.1,,
224,15/5/2023,17:18,2.59825,120.16481,39,11.1,,
225,15/5/2023,17:24,2.61429,120.17367,39,11.1,,
226,15/5/2023,17:30,2.63032,120.18253,39,11.1,,
227,15/5/2023,17:36,2.64636,120.19138,39,11.1,,
228,15/5/2023,17:42,2.6624,120.20024,39,11.1,,
229,15/5/2023,17:48,2.67843,120.2091,39,11.1,,
230,15/5/2023,17:54,2.69447,120.21795,39,11.1,,
231,15/5/2023,18:00,2.7105,120.22681,39,11.1,,
232,15/5/2023,18:06,2.72654,120.23567,39,11.1,,
233,15/5/2023,18:12,2.74257,120.24452,39,11.1,,
234,15/5/2023,18:18,2.75861,120.25338,39,11.1,,
235,15/5/2023,18:24,2.77465,120.26224,39,11.1,,
236,15/5/2023,18:30,2.79068,120.2711,39,11.1,,
237,15/5/2023,18:36,2.80672,120.27995,39,11.1,,
238,15/5/2023,18:42,2.82275,120.28881,39,11.1,,
239,15/5/2023,18:48,2.83879,120.29767,39,11.1,,
240,15/5/2023,18:54,2.85482,120.30652,39,11.1,,
241,15/5/2023,19:00,2.87086,120.31538,39,11.1,,
242,15/5/2023,19:06,2.8869,120.32424,39,11.1,,
243,15/5/2023,19:12,2.90293,120.33309,39,11.1,,
244,15/5/2023,19:18,2.91897,120.34195,39,11.1,,
245,15/5/2023,19:24,2.935,120.35081,39,11.1,,
246,15/5/2023,19:30,2.95104,120.35967,39,11.1,,
247,15/5/2023,19:36,2.96707,120.36852,39,11.1,,
248,15/5/2023,19:42,2.98311,120.37738,39,11.1,,
249,15/5/2023,19:48,2.99915,120.38624,39,11.1,,
250,15/5/2023,19:54,3.01518,120.39509,39,11.1,,
251,15/5/2023,20:00,3.03122,120.40395,39,11.1,,
252,15/5/2023,20:06,3.04725,120.41281,39,11.1,,
253,15/5/2023,20:12,3.06329,120.42166,39,11.1,,
254,15/5/2023,20:18,3.07932,120.43052,39,11.1,,
255,15/5/2023,20:24,3.09536,120.43938,39,11.1,,
256,15/5/2023,20:30,3.11139,120.44824,39,11.1,,
257,15/5/2023,20:36,3.12743,120.45709,39,11.1,,
258,15/5/2023,20:42,3.14347,120.46595,39,11.1,,
259,15/5/2023,20:48,3.1595,120.47481,39,11.1,,
260,15/5/2023,20:54,3.17554,120.48366,39,11.1,,
261,15/5/2023,21:00,3.19157,120.49252,39,11.1,,
262,15/5/2023,21:06,3.20761,120.50138,39,11.1,,
263,15/5/2023,21:12,3.22364,120.51023,39,11.1,,
264,15/5/2023,21:18,3.23968,120.51909,39,11.1,,
265,15/5/2023,21:24,3.25572,120.52795,39,11.1,,
266,15/5/2023,21:30,3.27175,120.53681,39,11.1,,
267,15/5/2023,21:36,3.28779,120.54566,39,11.1,,
268,15/5/2023,21:42,3.30382,120.55452,39,11.1,,
269,15/5/2023,21:48,3.31986,120.56338,39,11.1,,
270,15/5/2023,21:54,3.33589,120.57223,39,11.1,,
271,15/5/2023,22:00,3.35193,120.58109,39,11.1,,
272,15/5/2023,22:06,3.36797,120.58995,39,11.1,,
273,15/5/2023,22:12,3.384,120.5988,39,11.1,,
274,15/5/2023,22:18,3.40004,120.60766,39,11.1,,
275,15/5/2023,22:24,3.41607,120.61652,39,11.1,,
276,15/5/2023,22:30,3.43211,120.62538,39,11.1,,
277,15/5/2023,22:36,3.44814,120.63423,39,11.1,,
278,15/5/2023,22:42,3.46418,120.64309,39,11.1,,
279,15/5/2023,22:48,3.48022,120.65195,39,11.1,,
280,15/5/2023,22:54,3.49625,120.6608,39,11.1,,
281,15/5/2023,23:00,3.51229,120.66966,39,11.1,,
282,15/5/2023,23:06,3.52832,120.67852,39,11.1,,
283,15/5/2023,23:12,3.54436,120.68737,39,11.1,,
284,15/5/2023,23:18,3.56039,120.69623,39,11.1,,
285,15/5/2023,23:24,3.57643,120.70509,39,11.1,,
286,15/5/2023,23:30,3.59246,120.71395,39,11.1,,
287,15/5/2023,23:36,3.6085,120.7228,39,11.1,,
288,15/5/2023,23:42,3.62454,120.73166,39,11.1,,
289,15/5/2023,23:48,3.64057,120.74052,39,11.1,,
290,15/5/2023,23:54,3.65661,120.74937,39,11.1,,
291,16/5/2023,0:00,3.67264,120.75823,39,11.1,,
292,16/5/2023,0:06,3.68868,120.76709,39,11.1,,
293,16/5/2023,0:12,3.70471,120.77594,39,11.1,,
294,16/5/2023,0:18,3.72075,120.7848,39,11.1,,
295,16/5/2023,0:24,3.73679,120.79366,39,11.1,,
296,16/5/2023,0:30,3.75282,120.80252,39,11.1,,
297,16/5/2023,0:36,3.76886,120.81137,39,11.1,,
298,16/5/2023,0:42,3.78489,120.82023,39,11.1,,
299,16/5/2023,0:48,3.80093,120.82909,39,11.1,,
300,16/5/2023,0:54,3.833,120.8468,39,11.1,,
301,16/5/2023,1:00,3.8415,120.8561,90,11.1,,
302,16/5/2023,1:06,3.8415,120.87327,90,11.1,,
303,16/5/2023,1:12,3.8415,120.89044,90,11.1,,
304,16/5/2023,1:18,3.8415,120.90761,90,11.1,,
305,16/5/2023,1:24,3.8415,120.92478,90,11.1,,
306,16/5/2023,1:30,3.84151,120.94195,90,11.1,,
307,16/5/2023,1:36,3.84151,120.95912,90,11.1,,
308,16/5/2023,1:42,3.84151,120.97629,90,11.1,,
309,16/5/2023,1:48,3.84151,120.99346,90,11.1,,
310,16/5/2023,1:54,3.84151,121.01063,90,11.1,,
311,16/5/2023,2:00,3.84151,121.0278,90,11.1,,
312,16/5/2023,2:06,3.84151,121.04496,90,11.1,,
313,16/5/2023,2:12,3.84151,121.06213,90,11.1,,
314,16/5/2023,2:18,3.84151,121.0793,90,11.1,,
315,16/5/2023,2:24,3.84151,121.09647,90,11.1,,
316,16/5/2023,2:30,3.84152,121.11364,90,11.1,,
317,16/5/2023,2:36,3.84152,121.13081,90,11.1,,
318,16/5/2023,2:42,3.84152,121.14798,90,11.1,,
319,16/5/2023,2:48,3.84152,121.16515,90,11.1,,
320,16/5/2023,2:54,3.84152,121.18232,90,11.1,,
321,16/5/2023,3:00,3.84152,121.19949,90,11.1,,
322,16/5/2023,3:06,3.84152,121.21666,90,11.1,,
323,16/5/2023,3:12,3.84152,121.23383,90,11.1,,
324,16/5/2023,3:18,3.84152,121.251,90,11.1,,
325,16/5/2023,3:24,3.84152,121.26817,90,11.1,,
326,16/5/2023,3:30,3.84153,121.28534,90,11.1,,
327,16/5/2023,3:36,3.84153,121.30251,90,11.1,,
328,16/5/2023,3:42,3.84153,121.31968,90,11.1,,
329,16/5/2023,3:48,3.84153,121.33685,90,11.1,,
330,16/5/2023,3:54,3.84153,121.35402,90,11.1,,
331,16/5/2023,4:00,3.84153,121.37119,90,11.1,,
332,16/5/2023,4:06,3.84153,121.38835,90,11.1,,
333,16/5/2023,4:12,3.84153,121.40552,90,11.1,,
334,16/5/2023,4:18,3.84153,121.42269,90,11.1,,
335,16/5/2023,4:24,3.84153,121.43986,90,11.1,,
336,16/5/2023,4:30,3.84154,121.45703,90,11.1,,
337,16/5/2023,4:36,3.84154,121.4742,90,11.1,,
338,16/5/2023,4:42,3.84154,121.49137,90,11.1,,
339,16/5/2023,4:48,3.84154,121.50854,90,11.1,,
340,16/5/2023,4:54,3.84154,121.52571,90,11.1,,
341,16/5/2023,5:00,3.84154,121.54288,90,11.1,,
342,16/5/2023,5:06,3.84154,121.56005,90,11.1,,
343,16/5/2023,5:12,3.84154,121.57722,90,11.1,,
344,16/5/2023,5:18,3.84154,121.59439,90,11.1,,
345,16/5/2023,5:24,3.84154,121.61156,90,11.1,,
346,16/5/2023,5:30,3.84155,121.62873,90,11.1,,
347,16/5/2023,5:36,3.84155,121.6459,90,11.1,,
348,16/5/2023,5:42,3.84155,121.66307,90,11.1,,
349,16/5/2023,5:48,3.84155,121.68024,90,11.1,,
350,16/5/2023,5:54,3.84155,121.69741,90,11.1,,
351,16/5/2023,6:00,3.84155,121.71458,90,11.1,,
352,16/5/2023,6:06,3.84155,121.73174,90,11.1,,
353,16/5/2023,6:12,3.84155,121.74891,90,11.1,,
354,16/5/2023,6:18,3.84155,121.76608,90,11.1,,
355,16/5/2023,6:24,3.84155,121.78325,90,11.1,,
356,16/5/2023,6:30,3.84156,121.80042,90,11.1,,
357,16/5/2023,6:36,3.84156,121.81759,90,11.1,,
358,16/5/2023,6:42,3.84156,121.83476,90,11.1,,
359,16/5/2023,6:48,3.84156,121.85193,90,11.1,,
360,16/5/2023,6:54,3.84156,121.8691,90,11.1,,
361,16/5/2023,7:00,3.84156,121.88627,90,11.1,,
362,16/5/2023,7:06,3.84156,121.90344,90,11.1,,
363,16/5/2023,7:12,3.84156,121.92061,90,11.1,,
364,16/5/2023,7:18,3.84156,121.93778,90,11.1,,
365,16/5/2023,7:24,3.84156,121.95495,90,11.1,,
366,16/5/2023,7:30,3.84157,121.97212,90,11.1,,
367,16/5/2023,7:36,3.84157,121.98929,90,11.1,,
368,16/5/2023,7:42,3.84157,122.00646,90,11.1,,
369,16/5/2023,7:48,3.84157,122.02363,90,11.1,,
370,16/5/2023,7:54,3.84157,122.0408,90,11.1,,
371,16/5/2023,8:00,3.84157,122.05797,90,11.1,,
372,16/5/2023,8:06,3.84157,122.07513,90,11.1,,
373,16/5/2023,8:12,3.84157,122.0923,90,11.1,,
374,16/5/2023,8:18,3.84157,122.10947,90,11.1,,
375,16/5/2023,8:24,3.84157,122.12664,90,11.1,,
376,16/5/2023,8:30,3.84158,122.14381,90,11.1,,
377,16/5/2023,8:36,3.84158,122.16098,90,11.1,,
378,16/5/2023,8:42,3.84158,122.17815,90,11.1,,
379,16/5/2023,8:48,3.84158,122.19532,90,11.1,,
380,16/5/2023,8:54,3.84158,122.21249,90,11.1,,
381,16/5/2023,9:00,3.84158,122.22966,90,11.1,,
382,16/5/2023,9:06,3.84158,122.24683,90,11.1,,
383,16/5/2023,9:12,3.84158,122.264,90,11.1,,
384,16/5/2023,9:18,3.84158,122.28117,90,11.1,,
385,16/5/2023,9:24,3.84158,122.29834,90,11.1,,
386,16/5/2023,9:30,3.84159,122.31551,90,11.1,,
387,16/5/2023,9:36,3.84159,122.33268,90,11.1,,
388,16/5/2023,9:42,3.84159,122.34985,90,11.1,,
389,16/5/2023,9:48,3.84159,122.36702,90,11.1,,
390,16/5/2023,9:54,3.84159,122.38419,90,11.1,,
391,16/5/2023,10:00,3.84159,122.40135,90,11.1,,
441,16/5/2023,15:00,3.84161,122.73643,90,11.1,,
442,16/5/2023,15:06,3.84161,122.7536,90,11.1,,
443,16/5/2023,15:12,3.84161,122.77077,90,11.1,,
444,16/5/2023,15:18,3.84161,122.78794,90,11.1,,
445,16/5/2023,15:24,3.84161,122.80511,90,11.1,,
446,16/5/2023,15:30,3.84162,122.82228,90,11.1,,
447,16/5/2023,15:36,3.84162,122.83945,90,11.1,,
448,16/5/2023,15:42,3.84162,122.85662,90,11.1,,
449,16/5/2023,15:48,3.84162,122.87379,90,11.1,,
450,16/5/2023,15:54,3.84162,122.89096,90,11.1,,
451,16/5/2023,16:00,3.84162,122.90813,90,11.1,,
452,16/5/2023,16:06,3.84162,122.9253,90,11.1,,
453,16/5/2023,16:12,3.84162,122.94247,90,11.1,,
454,16/5/2023,16:18,3.84162,122.95964,90,11.1,,
455,16/5/2023,16:24,3.84162,122.97681,90,11.1,,
456,16/5/2023,16:30,3.84163,122.99397,90,11.1,,
457,16/5/2023,16:36,3.84163,123.01114,90,11.1,,
458,16/5/2023,16:42,3.84163,123.02831,90,11.1,,
459,16/5/2023,16:48,3.84163,123.04548,90,11.1,,
460,16/5/2023,16:54,3.84163,123.06265,90,11.1,,
461,16/5/2023,17:00,3.84163,123.07982,90,11.1,,
462,16/5/2023,17:06,3.84163,123.09699,90,11.1,,
463,16/5/2023,17:12,3.84163,123.11416,90,11.1,,
464,16/5/2023,17:18,3.84163,123.13133,90,11.1,,
465,16/5/2023,17:24,3.84163,123.1485,90,11.1,,
466,16/5/2023,17:30,3.84164,123.16567,90,11.1,,
467,16/5/2023,17:36,3.84164,123.18284,90,11.1,,
468,16/5/2023,17:42,3.84164,123.20001,90,11.1,,
469,16/5/2023,17:48,3.84164,123.21718,90,11.1,,
470,16/5/2023,17:54,3.84164,123.23435,90,11.1,,
471,16/5/2023,18:00,3.84164,123.25152,90,11.1,,
472,16/5/2023,18:06,3.84164,123.26869,90,11.1,,
473,16/5/2023,18:12,3.84164,123.28586,90,11.1,,
474,16/5/2023,18:18,3.84164,123.30303,90,11.1,,
475,16/5/2023,18:24,3.84164,123.3202,90,11.1,,
476,16/5/2023,18:30,3.84165,123.33736,90,11.1,,
477,16/5/2023,18:36,3.84165,123.35453,90,11.1,,
478,16/5/2023,18:42,3.84165,123.3717,90,11.1,,
479,16/5/2023,18:48,3.84165,123.38887,90,11.1,,
480,16/5/2023,18:54,3.84165,123.40604,90,11.1,,
481,16/5/2023,19:00,3.84165,123.42321,90,11.1,,
482,16/5/2023,19:06,3.84165,123.44038,90,11.1,,
483,16/5/2023,19:12,3.84165,123.45755,90,11.1,,
484,16/5/2023,19:18,3.84165,123.47472,90,11.1,,
485,16/5/2023,19:24,3.84165,123.49189,90,11.1,,
486,16/5/2023,19:30,3.84166,123.50906,90,11.1,,
487,16/5/2023,19:36,3.84166,123.52623,90,11.1,,
488,16/5/2023,19:42,3.84166,123.5434,90,11.1,,
489,16/5/2023,19:48,3.84166,123.56057,90,11.1,,
490,16/5/2023,19:54,3.84166,123.57774,90,11.1,,
491,16/5/2023,20:00,3.84166,123.59491,90,11.1,,
492,16/5/2023,20:06,3.84166,123.61208,90,11.1,,
493,16/5/2023,20:12,3.84166,123.62925,90,11.1,,
494,16/5/2023,20:18,3.84166,123.64642,90,11.1,,
495,16/5/2023,20:24,3.84166,123.66359,90,11.1,,
